Site,Date,Time,Analyte,Result
POSNW16,3/22/2019,10:26,Turb,1.79
HOGDN,3/22/2019,10:00,Temp,13.2
HOGDN,3/22/2019,10:00,DO_Sat,83.2
HOGDN,3/22/2019,10:00,DO,8.7
HOGDN,3/22/2019,10:00,SpCond,283.5
HOGDN,3/22/2019,10:00,pH,7.08
HOGDN,3/22/2019,10:00,Turb,1.32
TUM441,4/3/2019,12:19,Temp,19.6
TUM441,4/3/2019,12:19,DO_Sat,115.1
TUM441,4/3/2019,12:19,DO,10.52
TUM441,4/3/2019,12:19,SpCond,331.8
TUM441,4/3/2019,12:19,pH,8.09
TUM441,4/3/2019,12:19,Turb,0.94
SWB,4/3/2019,13:06,Temp,20.4
SWB,4/3/2019,13:06,DO_Sat,96.9
SWB,4/3/2019,13:06,DO,8.72
SWB,4/3/2019,13:06,SpCond,639
SWB,4/3/2019,13:06,pH,7.44
SWB,4/3/2019,13:06,Turb,0.64
HAT,4/3/2019,14:40,Temp,16.2
HAT,4/3/2019,14:40,DO_Sat,87
HAT,4/3/2019,14:40,DO,8.54
HAT,4/3/2019,14:40,SpCond,87.7
HAT,4/3/2019,14:40,pH,7.15
HAT,4/3/2019,14:40,Turb,1.6
HOGNW16,4/3/2019,15:43,Temp,18.6
HOGNW16,4/3/2019,15:43,DO_Sat,94.8
HOGNW16,4/3/2019,15:43,DO,8.85
HOGNW16,4/3/2019,15:43,SpCond,269.1
HOGNW16,4/3/2019,15:43,pH,7.74
HOGNW16,4/3/2019,15:43,Turb,1.44
POSNW16,4/3/2019,16:07,Temp,17.7
POSNW16,4/3/2019,16:07,DO_Sat,96.7
POSNW16,4/3/2019,16:07,DO,9.2
POSNW16,4/3/2019,16:07,SpCond,260.3
POSNW16,4/3/2019,16:07,pH,7.54
POSNW16,4/3/2019,16:07,Turb,1.88
HOGDN,4/3/2019,16:46,Temp,17.5
HOGDN,4/3/2019,16:46,DO_Sat,78.5
HOGDN,4/3/2019,16:46,DO,7.5
HOGDN,4/3/2019,16:46,SpCond,242.5
HOGDN,4/3/2019,16:46,pH,7.14
HOGDN,4/3/2019,16:46,Turb,2.27
TUM441,4/24/2019,15:53,Temp,24
TUM441,4/24/2019,15:53,DO_Sat,133.4
TUM441,4/24/2019,15:53,DO,11.26
TUM441,4/24/2019,15:53,SpCond,426.1
TUM441,4/24/2019,15:53,pH,8.6
TUM441,4/24/2019,15:53,Turb,0.25
SWB,4/24/2019,14:46,Temp,23.3
SWB,4/24/2019,14:46,DO_Sat,88.1
SWB,4/24/2019,14:46,DO,7.5
SWB,4/24/2019,14:46,SpCond,814
SWB,4/24/2019,14:46,pH,7.52
SWB,4/24/2019,14:46,Turb,0.41
HAT,4/24/2019,13:10,Temp,17.7
HAT,4/24/2019,13:10,DO_Sat,79.3
HAT,4/24/2019,13:10,DO,7.39
HAT,4/24/2019,13:10,SpCond,100.4
HAT,4/24/2019,13:10,pH,6.98
HAT,4/24/2019,13:10,Turb,1.42
HOGNW16,4/24/2019,12:21,Temp,19.9
HOGNW16,4/24/2019,12:21,DO_Sat,93.4
HOGNW16,4/24/2019,12:21,DO,8.5
HOGNW16,4/24/2019,12:21,SpCond,273
HOGNW16,4/24/2019,12:21,pH,7.74
HOGNW16,4/24/2019,12:21,Turb,1.3
POSNW16,4/24/2019,11:50,Temp,18.6
POSNW16,4/24/2019,11:50,DO_Sat,96.6
POSNW16,4/24/2019,11:50,DO,9.03
POSNW16,4/24/2019,11:50,SpCond,268.4
POSNW16,4/24/2019,11:50,pH,7.72
POSNW16,4/24/2019,11:50,Turb,1.4
HOGDN,4/24/2019,11:13,Temp,18.3
HOGDN,4/24/2019,11:13,DO_Sat,74.9
HOGDN,4/24/2019,11:13,DO,7.04
HOGDN,4/24/2019,11:13,SpCond,266.5
HOGDN,4/24/2019,11:13,pH,7.25
HOGDN,4/24/2019,11:13,Turb,5.99
